Player_name,F,QF,R128,R16,R32,R64,SF
Bohdan Ulihrach,0.0,0.416666666667,0.461538461538,0.25,0.472727272727,0.321428571429,0.0
Boris Pashanski,0.0,0.0,0.176470588235,0.1,0.515151515152,0.428571428571,0.0
Borna Coric,0.333333333333,0.4,0.576923076923,0.5,0.423728813559,0.538461538462,0.5
Bradley Klahn,0.0,0.0,0.0,0.222222222222,0.125,0.25,0.0
Brendan Evans,0.0,0.0,0.25,0.166666666667,0.571428571429,0.0,0.0
Brian Baker,0.0,1.0,0.142857142857,0.357142857143,0.318181818182,0.357142857143,1.0
Brian Dabul,0.0,0.5,0.222222222222,0.25,0.473684210526,0.333333333333,0.0
Brian Vahaly,0.0,0.0,0.0,0.0909090909091,0.428571428571,0.5,0.0
Brian Wilson,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
Brydan Klein,0.0,0.0,0.0,0.2,0.5,0.0,0.0
Byron Black,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Caio Zampieri,0.0,0.0,0.5,0.0,0.666666666667,0.0,0.0
Calvin Hemery,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Cameron Norrie,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Carl Soderlund,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Carlos Berlocq,0.666666666667,0.409090909091,0.372881355932,0.333333333333,0.464566929134,0.358974358974,0.333333333333
Carlos Cuadrado,0.0,0.0,1.0,0.0,0.5,0.333333333333,0.0
Carlos Moya,0.586206896552,0.657534246575,0.722772277228,0.733333333333,0.719424460432,0.592592592593,0.58
Carlos Taberner,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Carsten Ball,0.0,1.0,0.5,0.375,0.5,0.0,1.0
Casper Ruud,0.0,1.0,0.333333333333,0.5,0.375,0.25,0.0
Cecil Mamiit,0.0,0.5,0.5,0.222222222222,0.242424242424,0.5,0.0
Cedric Pioline,0.0,0.333333333333,0.75,0.0,0.363636363636,0.5,0.0
Cedrik Marcel Stebe,1.0,0.0,0.3,0.4,0.47619047619,0.2,1.0
Chris Eaton,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chris Guccione,0.0,0.666666666667,0.133333333333,0.294117647059,0.421052631579,0.4375,1.0
Christian Garin,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Christian Harrison,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Christian Lindell,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.0
Christophe Rochus,0.0,0.352941176471,0.377777777778,0.225,0.384615384615,0.275,0.166666666667
Christopher Eubanks,0.0,0.0,1.0,0.0,0.333333333333,0.0,0.0
Chuhan Wang,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Clement Reix,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Corentin Moutet,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Cyril Saulnier,0.0,0.307692307692,0.393939393939,0.363636363636,0.66,0.266666666667,0.25
Damir Dzumhur,0.666666666667,0.545454545455,0.407407407407,0.55,0.619047619048,0.4,0.5
Danai Udomchoke,0.0,0.0,0.166666666667,0.272727272727,0.205882352941,0.384615384615,0.0
Daniel Altmaier,0.0,0.0,1.0,0.0,0.333333333333,0.0,0.0
Daniel Brands,0.0,0.333333333333,0.4,0.260869565217,0.46875,0.333333333333,0.0
Daniel Elahi Galan Riveros,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Daniel Elsner,0.0,0.0,0.0,0.5,0.125,0.333333333333,0.0
Daniel Evans,0.0,1.0,0.25,0.454545454545,0.380952380952,0.666666666667,0.5
Daniel Gimeno Traver,0.0,0.4,0.31914893617,0.324324324324,0.4,0.357142857143,0.166666666667
Daniel Koellerer,0.0,0.0,0.333333333333,0.5,0.375,0.333333333333,0.0
Daniel Kosakowski,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Daniel Munoz De La Nava,0.0,0.0,0.333333333333,0.0,0.315789473684,0.5,1.0
Daniele Bracciali,1.0,0.166666666667,0.4,0.466666666667,0.41935483871,0.266666666667,1.0
Daniil Medvedev,0.5,0.3,0.714285714286,0.333333333333,0.666666666667,0.142857142857,0.666666666667
Darian King,0.0,0.0,0.0,0.666666666667,1.0,0.0,0.0
David Ferrer,0.518518518519,0.62893081761,0.700440528634,0.859375,0.688811188811,0.717557251908,0.529411764706
David Goffin,0.363636363636,0.486486486486,0.513888888889,0.62962962963,0.61797752809,0.769230769231,0.578947368421
David Guez,0.0,0.0,0.0,0.0,0.0833333333333,1.0,0.0
David Marrero,0.0,0.0,0.0,1.0,0.5,0.0,0.0
David Nalbandian,0.52,0.520547945205,0.688679245283,0.829787234043,0.654088050314,0.714285714286,0.625
David Prinosil,0.0,0.0,0.0,0.0,0.285714285714,1.0,0.0
